,strategy,profit,sell_count,buy_count,symbol,start,end
47,dmi--rsi,1270.98,3,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
55,mom--rsi,912.6,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
49,mom--ema,868.6700000000001,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
50,mom--macd,765.52,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
54,mom--mom,734.01,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
48,mom--sma,454.01,3,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
51,mom--bb2,448.78000000000003,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
15,ema--rsi,407.13,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
10,ema--macd,345.95,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
40,dmi--sma,318.36,4,5,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
53,mom--dmi,69.87,5,5,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
21,macd--dmi,66.84,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
8,ema--sma,19.46,2,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
20,macd--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
52,mom--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
44,dmi--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
28,bb2--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
36,bb3--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
12,ema--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
60,rsi--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
4,sma--bb3,0.0,0,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
7,sma--rsi,-378.59000000000003,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
2,sma--macd,-380.94,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
58,rsi--macd,-405.44,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
45,dmi--dmi,-555.59,6,7,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
1,sma--ema,-668.65,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
13,ema--dmi,-672.0600000000001,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
6,sma--mom,-714.98,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
63,rsi--rsi,-772.14,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
3,sma--bb2,-842.4,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
0,sma--sma,-842.49,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
5,sma--dmi,-855.24,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
31,bb2--rsi,-894.0,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
61,rsi--dmi,-964.47,5,5,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
56,rsi--sma,-1065.63,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
23,macd--rsi,-1089.3,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
17,macd--ema,-1133.22,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
25,bb2--ema,-1184.06,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
39,bb3--rsi,-1252.57,1,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
33,bb3--ema,-1266.94,1,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
26,bb2--macd,-1308.99,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
27,bb2--bb2,-1357.82,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
18,macd--macd,-1407.02,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
62,rsi--mom,-1469.52,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
9,ema--ema,-1491.71,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
29,bb2--dmi,-1518.94,4,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
19,macd--bb2,-1553.1200000000001,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
42,dmi--macd,-1636.79,4,5,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
57,rsi--ema,-1659.26,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
41,dmi--ema,-1704.31,2,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
35,bb3--bb2,-1716.38,1,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
37,bb3--dmi,-1736.22,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
34,bb3--macd,-1739.54,1,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
59,rsi--bb2,-1833.02,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
46,dmi--mom,-1860.1100000000001,3,4,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
43,dmi--bb2,-1878.06,2,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
11,ema--bb2,-1906.31,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
32,bb3--sma,-2002.44,1,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
24,bb2--sma,-2016.72,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
38,bb3--mom,-2061.83,1,1,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
30,bb2--mom,-2083.31,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
22,macd--mom,-2104.62,3,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
16,macd--sma,-2212.01,2,3,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
14,ema--mom,-2682.62,2,2,BTC-JPY,2022-02-24 00:00:00,2022-02-24 14:55:14
