,Open,High,Low,Adj Close,Volume,sma_short,sma_long,ema_short,ema_long,macd,macd_signal,plus_di,minus_di,adx,middle,upper,lower,moment,mom_signal,mom_base,rsi
2022-02-24 00:00:00,4285275.5,4285275.5,4278413.0,4278413.0,0,,,4278413.0,4278413.0,0.0,,,,,,,,,,0,
2022-02-24 00:05:00,4276158.5,4287303.5,4276158.5,4287303.5,1832386560,,,4283036.06,4282945.411764706,90.64823529403657,,,,,,,,,,0,
2022-02-24 00:10:00,4284154.0,4293632.0,4283920.0,4293632.0,12479365120,,,4286854.213219616,4286648.196822141,206.01639747433364,,,,,,,,,,0,
2022-02-24 00:15:00,4295384.0,4295384.0,4293746.5,4293746.5,3106406400,,,4288789.338338658,4288528.496691835,260.84164682310075,,,,,,,,,,0,
2022-02-24 00:20:00,4292120.0,4292120.0,4284099.5,4284099.5,0,,,4287695.549517806,4287571.88828553,123.66123227588832,,,,,,,,,,0,
2022-02-24 00:25:00,4287657.5,4290433.5,4287657.5,4290433.5,4227858432,,,4288247.792044057,4288096.779146003,151.0128980539739,,,,,,,,,,0,
2022-02-24 00:30:00,4290250.0,4290250.0,4275858.5,4275858.5,163315712,,,4286026.095983745,4286136.187857015,-110.09187327045947,,,,,,,,,,0,
2022-02-24 00:35:00,4267246.5,4268530.0,4261485.5,4261485.5,228327424,,,4282034.1584687345,4282615.694370609,-581.5359018743038,,,,,,,,,,0,
2022-02-24 00:40:00,4264601.0,4264601.0,4246447.5,4246447.5,19268894720,,,4276702.5462296605,4277938.416773132,-1235.8705434715375,-121.7019898549964,,,,,,,,,0,
2022-02-24 00:45:00,4245876.0,4247678.5,4245007.5,4247678.5,5847646208,,,4272649.597719806,4274351.1343555255,-1701.5366357192397,-310.76161604602305,,,,,,,,,0,
2022-02-24 00:50:00,4248114.5,4248114.5,4235257.5,4235257.5,7412121600,,,4267736.279073888,4270060.268198972,-2323.9891250832006,-579.0546560879383,,,,,,,,,0,
2022-02-24 00:55:00,4232671.5,4234563.0,4232137.5,4234563.0,7856455680,4269076.541666667,,4263602.507675625,4266423.430649914,-2820.9229742884636,-915.3812529504713,,,,,,,,,0,
2022-02-24 01:00:00,4234334.5,4234334.5,4231236.5,4233647.5,0,4265346.083333333,,4260039.675610239,4263267.369228899,-3227.6936186598614,-1302.9962824485783,,,,,,,,,0,
2022-02-24 01:05:00,4238505.0,4239643.5,4236634.0,4239472.5,5715001344,4261360.166666667,,4257692.065174965,4261101.3732347535,-3409.308059788309,-1695.5484260112669,,,,,,,,,0,
2022-02-24 01:10:00,4240390.5,4245738.5,4240390.5,4245738.5,5687214080,4257369.041666667,,4256376.604866933,4259772.763885144,-3396.1590182110667,-2089.678638929605,16.24683143219265,56.969598425722104,55.619711412529746,,,,,,0,0.34085053115578134
2022-02-24 01:15:00,4245917.5,4245917.5,4243494.5,4243607.5,1580204032,4253190.791666667,,4255016.450789454,4258438.818756254,-3422.367966799997,-2457.709315988442,17.682049529701636,59.41046346420157,54.84798793244672,,,,,,0,0.2721650989634388
2022-02-24 01:20:00,4241397.0,4241397.0,4235641.5,4235641.5,2699034624,4249152.625,,4253011.972352535,4256636.986151102,-3625.013798566535,-2795.8735267320235,12.182532431938608,67.5324319386077,60.049295720896566,,,,,,0,0.20270886841687044
2022-02-24 01:25:00,4236297.5,4236297.5,4234274.5,4234274.5,4189585408,4244472.708333333,,4251123.553231398,4254938.440760086,-3814.887528688647,-3082.4309695339243,10.555813762747082,68.61142247860677,63.721346905562555,,,,,,0,0.1989795918367347
2022-02-24 01:30:00,4230068.5,4230693.0,4225406.0,4230693.0,7798784000,4240708.916666667,,4249112.484297659,4253163.426950447,-4050.942652788013,-3343.476082541566,10.631238383699317,68.38714118537895,65.86250529495516,,,,,,0,0.21199652712241893
2022-02-24 01:35:00,4237392.0,4238512.0,4237392.0,4238512.0,7592738816,4238794.458333333,,4248091.005494474,4252126.81383523,-4035.8083407552913,-3533.678217616243,17.568307866440293,67.46757215619694,64.44994331483898,,,,,,0,0.22441841332859183
2022-02-24 01:40:00,4238543.5,4242807.0,4238543.5,4240123.5,5497159680,4238267.458333333,,4247337.884046798,4251304.123954864,-3966.239908066578,-3660.9356547027,23.659735915932405,62.611886279110394,61.09095915009025,,,,,,0,0.2800652387986214
2022-02-24 01:45:00,4242843.5,4248942.5,4242843.5,4248942.5,4719640576,4238372.791666667,,4247486.935497119,4251146.987829946,-3660.05233282689,-3708.9755118323696,31.53424556173926,51.094832643612556,55.20995452645328,,,,,,0,0.41713791189916233
2022-02-24 01:50:00,4251887.5,4258714.0,4251887.5,4258714.0,10390077440,4240327.5,,4248513.419304118,4251636.7267262405,-3123.307422122918,-3677.197663202882,45.932858973689854,38.62087762333061,48.49913553056308,,,,,,0,0.5870959038334552
