,ask_count,bid_count,profit
macd--rsi,13.0,14.0,245382.0
macd--bb3,4.0,5.0,230127.0
sma--rsi,11.0,12.0,225838.0
sma--bb3,4.0,5.0,221801.0
macd--sma,11.0,12.0,221575.0
dmi--bb3,4.0,5.0,213675.0
ema--bb3,3.0,4.0,201450.0
sma--sma,12.0,13.0,196346.0
bb2--bb3,3.0,4.0,190477.0
sma--mom,12.0,13.0,186735.0
dmi--sma,10.0,11.0,182293.0
dmi--rsi,11.0,12.0,176347.0
rsi--rsi,9.0,10.0,168245.0
macd--bb2,9.0,10.0,167634.0
rsi--bb3,3.0,4.0,164463.0
bb2--rsi,8.0,9.0,163918.0
mom--bb3,3.0,4.0,157276.0
macd--mom,17.0,18.0,156208.0
ema--rsi,5.0,6.0,149668.0
ema--bb2,5.0,6.0,149298.0
macd--ema,5.0,6.0,143852.0
macd--dmi,12.0,13.0,126232.0
dmi--macd,12.0,12.0,123787.0
sma--bb2,7.0,8.0,121335.0
ema--ema,5.0,6.0,115343.0
dmi--bb2,9.0,10.0,114602.0
rsi--sma,9.0,10.0,106223.0
bb2--sma,8.0,9.0,99436.0
rsi--mom,12.0,13.0,91554.0
ema--macd,6.0,6.0,87279.0
bb3--bb3,2.0,3.0,86490.0
ema--mom,5.0,6.0,84179.0
mom--rsi,10.0,11.0,82116.0
dmi--mom,11.0,12.0,79258.0
sma--macd,12.0,12.0,75778.0
rsi--bb2,6.0,7.0,70002.0
bb2--bb2,5.0,6.0,67045.0
ema--dmi,6.0,6.0,66805.0
bb3--rsi,2.0,3.0,65019.0
bb3--bb2,2.0,3.0,64278.0
ema--sma,4.0,5.0,64203.0
bb2--mom,8.0,9.0,61334.0
dmi--ema,4.0,5.0,58110.0
sma--dmi,12.0,12.0,57695.0
sma--ema,4.0,5.0,51335.0
bb3--sma,2.0,3.0,46862.0
mom--mom,17.0,18.0,45341.0
rsi--ema,4.0,5.0,38153.0
bb3--mom,2.0,3.0,37359.0
mom--bb2,6.0,7.0,33198.0
bb3--macd,3.0,3.0,30461.0
bb3--ema,2.0,3.0,29243.0
bb2--ema,4.0,5.0,19647.0
mom--sma,10.0,11.0,18520.0
bb2--macd,10.0,10.0,9057.0
bb3--dmi,2.0,3.0,5845.0
macd--macd,18.0,18.0,4731.0
rsi--macd,11.0,11.0,-9712.0
bb2--dmi,9.0,10.0,-14272.0
mom--macd,16.0,17.0,-28354.0
mom--ema,4.0,5.0,-32782.0
rsi--dmi,10.0,11.0,-32919.0
dmi--dmi,17.0,17.0,-45750.0
mom--dmi,14.0,15.0,-101125.0
