,ask_count,bid_count,profit,0.01
mom--mom,23.0,23.0,418908.0,4189.08
dmi--rsi,16.0,16.0,412410.0,4124.1
dmi--sma,15.0,15.0,357457.0,3574.57
mom--bb3,3.0,4.0,339728.0,3397.28
mom--ema,7.0,7.0,335728.0,3357.28
macd--ema,7.0,7.0,282664.0,2826.64
sma--ema,6.0,6.0,274175.0,2741.75
dmi--ema,5.0,5.0,244952.0,2449.52
mom--rsi,13.0,13.0,223424.0,2234.2400000000002
mom--sma,14.0,14.0,214237.0,2142.37
sma--dmi,14.0,15.0,209151.0,2091.51
sma--rsi,14.0,14.0,202333.0,2023.3300000000002
ema--sma,7.0,7.0,191192.0,1911.92
rsi--ema,6.0,6.0,189650.0,1896.5
rsi--dmi,15.0,15.0,188650.0,1886.5
sma--bb3,4.0,5.0,182235.0,1822.3500000000001
mom--bb2,8.0,8.0,178511.0,1785.1100000000001
bb3--bb3,3.0,3.0,178475.0,1784.75
mom--dmi,17.0,18.0,167069.0,1670.69
dmi--dmi,27.0,28.0,165608.0,1656.08
macd--bb3,4.0,5.0,160549.0,1605.49
bb2--bb3,3.0,4.0,154370.0,1543.7
dmi--mom,21.0,21.0,152433.0,1524.33
dmi--macd,16.0,16.0,144298.0,1442.98
sma--macd,14.0,14.0,132632.0,1326.32
ema--rsi,6.0,6.0,128274.0,1282.74
mom--macd,17.0,18.0,115578.0,1155.78
dmi--bb3,4.0,5.0,105578.0,1055.78
sma--sma,16.0,16.0,104386.0,1043.8600000000001
rsi--rsi,12.0,12.0,102690.0,1026.9
sma--bb2,10.0,10.0,99814.0,998.14
macd--rsi,15.0,15.0,98888.0,988.88
macd--sma,14.0,14.0,95276.0,952.76
sma--mom,16.0,16.0,91318.0,913.1800000000001
rsi--bb3,3.0,4.0,69683.0,696.83
bb2--rsi,9.0,9.0,55237.0,552.37
ema--macd,7.0,7.0,55047.0,550.47
ema--bb3,3.0,3.0,54301.0,543.01
rsi--macd,13.0,13.0,51638.0,516.38
rsi--sma,13.0,13.0,14626.0,146.26
macd--bb2,11.0,11.0,14235.0,142.35
dmi--bb2,12.0,12.0,-7267.0,-72.67
rsi--bb2,9.0,9.0,-23202.0,-232.02
bb2--bb2,7.0,7.0,-26801.0,-268.01
macd--macd,19.0,19.0,-28615.0,-286.15000000000003
bb2--macd,10.0,10.0,-32383.0,-323.83
rsi--mom,16.0,16.0,-37749.0,-377.49
ema--dmi,6.0,6.0,-52882.0,-528.82
macd--mom,18.0,18.0,-56804.0,-568.04
bb2--ema,6.0,6.0,-61624.0,-616.24
bb3--rsi,3.0,3.0,-79309.0,-793.09
bb3--ema,3.0,3.0,-84271.0,-842.71
bb3--bb2,3.0,3.0,-86394.0,-863.94
ema--ema,8.0,8.0,-90012.0,-900.12
bb2--sma,9.0,9.0,-118208.0,-1182.08
bb3--macd,3.0,3.0,-118666.0,-1186.66
bb2--mom,9.0,9.0,-150213.0,-1502.13
ema--bb2,5.0,5.0,-152317.0,-1523.17
bb3--sma,3.0,3.0,-170893.0,-1708.93
bb3--mom,3.0,3.0,-183357.0,-1833.57
macd--dmi,16.0,17.0,-188465.0,-1884.65
bb2--dmi,10.0,10.0,-229282.0,-2292.82
bb3--dmi,3.0,3.0,-234448.0,-2344.48
ema--mom,6.0,6.0,-237733.0,-2377.33
