,Open,High,Low,Adj Close,Volume
2022/2/18 0:00,4656182.5,4656182.5,4656182.5,4656182.5,0
2022/2/18 0:01,4658838,4658838,4658838,4658838,3473670144
2022/2/18 0:02,4659017.5,4659017.5,4659017.5,4659017.5,116391936
2022/2/18 0:03,4659443,4659443,4659443,4659443,0
2022/2/18 0:04,4657238.5,4657238.5,4657238.5,4657238.5,0
2022/2/18 0:05,4647745,4647745,4647745,4647745,0
2022/2/18 0:06,4647491,4647491,4647491,4647491,702545920
2022/2/18 0:07,4648884,4648884,4648884,4648884,1833959424
2022/2/18 0:08,4655664.5,4655664.5,4655664.5,4655664.5,4951375872
2022/2/18 0:09,4655700,4655700,4655700,4655700,629932032
2022/2/18 0:10,4657323.5,4657323.5,4657323.5,4657323.5,1082130432
2022/2/18 0:11,4662464,4662464,4662464,4662464,4277927936
2022/2/18 0:12,4661339.5,4661339.5,4661339.5,4661339.5,3956277248
2022/2/18 0:13,4657878.5,4657878.5,4657878.5,4657878.5,7122452480
2022/2/18 0:14,4657675.5,4657675.5,4657675.5,4657675.5,0
2022/2/18 0:15,4655879,4655879,4655879,4655879,0
2022/2/18 0:16,4652940,4652940,4652940,4652940,0
2022/2/18 0:17,4648929,4648929,4648929,4648929,0
2022/2/18 0:18,4643864.5,4643864.5,4643864.5,4643864.5,1033371648
2022/2/18 0:19,4642180.5,4642180.5,4642180.5,4642180.5,0
2022/2/18 0:20,4640613.5,4640613.5,4640613.5,4640613.5,0
2022/2/18 0:21,4642871,4642871,4642871,4642871,15990784
2022/2/18 0:22,4645330.5,4645330.5,4645330.5,4645330.5,1190658048
2022/2/18 0:23,4647622.5,4647622.5,4647622.5,4647622.5,4789108736
2022/2/18 0:24,4646161,4646161,4646161,4646161,0
2022/2/18 0:25,4648920.5,4648920.5,4648920.5,4648920.5,3379036160
2022/2/18 0:26,4649720.5,4649720.5,4649720.5,4649720.5,523239424
2022/2/18 0:27,4650682.5,4650682.5,4650682.5,4650682.5,0
